text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. ;http://www.msnbc.com/rachel-maddow-show/auto-industry-trump-youre-going-the-wrong-way-emissions;msnbc;environment;left;Biased;Expresses writer’s opinion;[]
Though the indictment of a woman for her own pregnancy loss is unusual in Alabama, it is not unusual for prosecutors to charge people with murder even if they never killed anyone. ;https://eu.usatoday.com/story/news/nation/2019/06/28/alabama-prosecute-marshae-jones-pregnant-woman-who-shot/1600459001/;usa-today;abortion;center;Non-biased;Somewhat factual but also opinionated;[]
Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.;https://www.breitbart.com/economy/2020/01/12/donald-trump-we-dont-have-enough-foreign-workers/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;immigration;right;No agreement;No agreement;['flood']
The tragedy of America’s 18 years in Afghanistan has been a stubborn refusal to admit the Afghan government is incapable of standing on its own, no matter how much money is poured into it, how much training its troops are given, or how many of its battles American soldiers fight.;http://feedproxy.google.com/~r/breitbart/~3/EReXUAKj_UQ/;breitbart;international-politics-and-world-news;right;Biased;Somewhat factual but also opinionated;['tragedy', 'stubborn']
The justices threw out a challenge from gun rights groups.;https://www.huffpost.com/entry/supreme-court-gun-rights-case_n_5ea6eb53c5b6a30004e59f35;msnbc;gun-control;left;Non-biased;Entirely factual;[]
A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.;https://eu.usatoday.com/story/news/nation/2020/02/10/white-supremacist-las-vegas-guilty-plea-conor-climo/4717616002/;usa-today;white-nationalism;center;Biased;Entirely factual;['plant']
After the airstrike that killed Iranian Gen. Qasem Soleimani, there were reports that U.S. Customs and Border Patrol detained dozens of people at the Blaine, Washington, port of entry over the weekend.;https://eu.usatoday.com/story/news/politics/2020/01/07/customs-and-border-patrol-deny-reports-detained-iranian-americans/2830330001/;usa-today;immigration;center;Non-biased;Entirely factual;[]
Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.;https://eu.usatoday.com/story/news/nation/2020/02/14/illinois-doctor-van-koinis-may-have-faked-vaccination-records-sheriff/4759104002/;usa-today;vaccines;center;Non-biased;Entirely factual;[]
Politicians have no business directing or defining patriotism — especially when their rhetoric sounds like 1950s-era Soviet sloganeering.;https://thefederalist.com/2017/01/24/trumps-national-day-patriotic-creepy/;federalist;white-nationalism;right;Biased;Expresses writer’s opinion;['sloganeering']
Despite repeated setbacks, Smart made history as the first American to reach No. 1 in the world in saber fencing and later was on the silver-medal winning U.S. team in the 2008 Olympics.;https://www.nbcnews.com/news/nbcblk/stay-close-pbs-film-spotlights-race-adversity-black-man-s-n1111351?cid=public-rss_20200106;msnbc;sport;left;Non-biased;Entirely factual;[]
