text;news_link;topic;outlet;label_bias;label_opinion;biased_words
For New Presidents, Contentious Cabinet Votes Have Been Rare but Nasty;http://www.nbcnews.com/politics/white-house/history-reveals-why-trump-s-cabinet-picks-could-fail-get-n704056?cid=public-rss_20170109;abortion;MSNBC;;;
The American Civil Liberties Union sued Kentucky state officials on Monday to block a new law that requires women seeking an abortion to first undergo an ultrasound and hear a description of the embryo or fetus.;http://feeds.reuters.com/~r/Reuters/domesticNews/~3/VBO0qWKdRQ0/us-kentucky-abortion-idUSKBN14T2F1;abortion;Reuters;;;
Senator Dianne Feinstein asks Senator Jeff Sessions to explain his stance on Roe v. Wade and the Supreme Court’s same-sex marriage ruling.;http://www.nbcnews.com/video/feinstein-questions-sessions-on-abortion-civil-rights-record-851656771966;abortion;MSNBC;;;
Anna Yocca pleaded guilty to 'attempted procurement of a miscarriage' on Monday after spending one year and one month in prison while awaiting trial.;http://www.nbcnews.com/news/us-news/anna-yocca-tennessee-woman-coat-hanger-attempted-abortion-case-released-n705416?cid=public-rss_20170111;abortion;MSNBC;;;
The U.S. abortion rate has plunged to its lowest level since the still-controversial Roe V. Wade Supreme Court decision in 1973.;http://www.nbcnews.com/news/us-news/u-s-abortion-rate-now-lowest-level-it-s-been-n707791?cid=public-rss_20170117;abortion;MSNBC;;;
Trump also opposes abortion rights, wants to pull government funding from hundreds of women’s health care clinics and repeal a national insurance program that pays for most birth control methods for women.;http://feeds.reuters.com/~r/Reuters/domesticNews/~3/9XcO7bHtwKg/us-usa-politics-women-idUSKBN1512S7;abortion;Reuters;;;
Trump starts with the lowest-ever ratings for an incoming president, but also with some signs of increasing optimism for the country.;http://www.nbcnews.com/politics/first-read/trump-enters-office-historically-low-rating-n708071?cid=public-rss_20170117;abortion;MSNBC;;;
Protesters, including pro-abortion activists, hold rallies in Los Angeles ahead of Donald Trump's inauguration.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/3H09tMS8_NI/la-protesters-target-trump;abortion;Reuters;;;
"About 600 ""sister marches"" were held across the country and the world to coincide with the Women's March on Washington.";http://www.nbcnews.com/storyline/inauguration-2017/women-s-marches-held-around-world-solidarity-d-c-protest-n710331?cid=public-rss_20170121;abortion;MSNBC;;;
Roe v. Wade Attorney: Trump Is Biggest Threat Yet to Reproductive Rights.;http://www.nbcnews.com/news/us-news/roe-v-wade-attorney-trump-biggest-threat-yet-reproductive-rights-n707871?cid=public-rss_20170122;abortion;MSNBC;;;
Women activists, galvanized by Trump campaign rhetoric and behavior they found to be especially misogynistic, spearheaded scores of U.S.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/q8tXxRs9h9k/in-challenge-to-trump-women-protesters-s;abortion;Reuters;;;
That's ridiculous.When millions of like-minded people take a stand in support of women's rights -- in all 50 states and across the globe -- an indifferent shrug from the new White House won't cut it.;http://www.nbcnews.com/storyline/inauguration-2017/women-s-marches-held-around-world-solidarity-d-c-protest-n710331?cid=public-rss_20170123;abortion;MSNBC;;;
Trump, an abortion opponent, signed the reinstatement directive at a ceremony in the White House on his fourth day in office. Former President Barack Obama had lifted the gag rule in 2009 when he took office.;http://feeds.reuters.com/~r/reuters/topNews/~3/zUixo_rus0o/us-usa-trump-abortion-idUSKBN1572JL;abortion;Reuters;;;
Women’s reproductive rights were among the main issues attendees at Saturday’s many marches were advocating for, and González-Rojas said “among the most urgent issues” her organization will be fighting for going forward is the repeal of the “Global Gag Rule,” a Reagan-era anti-abortion policy that Trump reinstated Monday.;http://www.nbcnews.com/news/us-news/if-women-s-march-was-beginning-resistance-what-s-next-n711031?cid=public-rss_20170124;abortion;MSNBC;;;
The president can’t handle criticism. Or facts that don’t paint him in the best-possible light. ;http://www.nbcnews.com/politics/first-read/what-happens-when-president-can-t-handle-bad-news-n711281?cid=public-rss_20170124;abortion;MSNBC;;;
"President Donald Trump reinstated Reagan's ""Global Gag Rule,"" stopping foreign aid to clinics abroad that provide or advocate for abortion services.";http://www.nbcnews.com/news/us-news/trump-reinstates-reagan-era-anti-abortion-policy-n710081?cid=public-rss_20170124;abortion;MSNBC;;;
The new president has clearly indicated that he’s moving toward delivering on many of his biggest and most revolutionary campaign promises.;http://www.nbcnews.com/politics/white-house/donald-trump-s-first-six-days-office-here-s-what-n712086?cid=public-rss_20170126;abortion;MSNBC;;;
Anmarie Calgaro argues that her 17-year-old transgender child received gender-affirming medical care without her parental consent.;http://www.nbcnews.com/feature/nbc-out/oral-arguments-begin-minnesota-case-mother-suing-her-transgender-child-n712396?cid=public-rss_20170126;abortion;MSNBC;;;
