text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.";https://www.foxnews.com/entertainment/australian-actress-yael-stone-giving-up-green-card-fight-climate-change;Fox News;environment;right;Non-biased;Entirely factual;[]
"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""";https://www.alternet.org/2020/06/law-and-order-is-a-debased-concept-used-to-cover-up-right-wing-crime-and-depravity-heres-why/;Alternet;gun control;left;Biased;Somewhat factual but also opinionated;['bizarre', 'characteristically']
...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.;https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071;MSNBC;white-nationalism;left;Biased;Expresses writer’s opinion;['criminals', 'fringe', 'extreme']
...we sounded the alarm in the early months of Trump’s presidency, when prime-time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like “Western civilization” to package the idea that white people are inherently more civilized while people of color are a threat to national stability.;https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/;Alternet;white-nationalism;left;Biased;Somewhat factual but also opinionated;[]
[Black Lives Matter] is essentially a non-falsifiable religious cult that sets itself specifically against Christianity, just like the French Revolution did.;http://feedproxy.google.com/~r/breitbart/~3/-vHhfcwC74U/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['cult']
[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.;https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['apparent', 'crime']
[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.;https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['obsession']
[Newsoms's] onslaught of propaganda ignores conflicting science on mask-wearing (some studies suggest it may even increase infection) and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone.;https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['propaganda', 'vilifying', 'unimpeded']
[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.;http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['wounds']
‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism;https://www.alternet.org/2019/08/a-new-low-washington-post-media-critic-blows-up-tucker-carlsons-absurd-lies-about-white-nationalism/;Alternet;white-nationalism;left;Biased;Expresses writer’s opinion;['blows', 'up', 'absurd', 'lies', 'nationalism', 'white']
‘Gangster capitalist’ Trump is running a ‘mafia state’ — and things are about to get worse: Pulitzer Prize-winning journalist;https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/;Alternet;black lives matter;left;Biased;Somewhat factual but also opinionated;['Gangster', 'mafia', 'state', 'capitalist']
‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise;https://feeds.feedblitz.com/~/629983109/0/alternet_all~%e2%80%98The-most-progressive-president-since-FDR%e2%80%99-Biden%e2%80%99s-policy-proposals-reveal-a-pleasant-surprise/;Alternet;universal health care;left;Non-biased;Expresses writer’s opinion;['pleasant']
‘Woke’ is not a dirty word but a moral duty, says a senior BBC editor, defending the corporation’s decision to ‘repurpose’ classic novels by giving them more black, female and Asian characters even when this is historically inaccurate.;https://www.breitbart.com/europe/2020/02/25/going-woke-is-a-moral-duty-claims-bbc-head-of-drama/;Breitbart;marriage-equality;;Non-biased;Entirely factual;[]
“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.;https://www.reuters.com/article/us-health-coronavirus-jkrowling/harry-potter-author-j-k-rowling-says-fully-recovered-from-likely-coronavirus-idUSKBN21O2KU?feedType=RSS&feedName=peopleNews;Reuters;blm;;Non-biased;Entirely factual;[]
“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.;https://www.reuters.com/article/us-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUSKBN27V04W;Reuters;vaccine;;Non-biased;Entirely factual;[]
"“I would shut it down; I would listen to the scientists,” Biden told ABC News alongside his new vice presidential running mate, California Sen. Kamala Harris.";https://thefederalist.com/2020/08/22/biden-i-will-shut-down-nation-in-january-if-scientists-tell-me-to/;Federalist;vaccine;;Non-biased;Entirely factual;[]
“Mike Pence and the task force have done a great job,” Trump said during a visit to a mask factory in Arizona.;https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews;Reuters;vaccine;;Non-biased;Entirely factual;[]
“She will be inheriting a government in crisis,” the post states, touting a plethora of false narratives routinely peddled by Trump’s critics.;https://www.breitbart.com/politics/2020/01/23/elizabeth-warren-vows-to-fill-half-her-cabinet-positions-with-women-and-non-binary-people/;Breitbart;marriage-equality;;Biased;Somewhat factual but also opinionated;[]
“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck.;http://feedproxy.google.com/~r/breitbart/~3/KernUHEqyEk/;Breitbart;black lives matter;right;Non-biased;Somewhat factual but also opinionated;['claimed']
“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.;https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews;Reuters;vaccine;;Non-biased;Entirely factual;[]
"“You know, there’s over 100 million people with preexisting conditions,” he said, claiming, “They weren’t able to get insurance before; now they cannot be denied insurance.”";http://feedproxy.google.com/~r/breitbart/~3/hmjqwWAvPXQ/;Breitbart;universal health care;right;Biased;Somewhat factual but also opinionated;['claiming']
23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday.;https://www.breitbart.com/europe/2020/06/01/23-arrested-london-black-lives-matter-protests-police-assaulted/;Breitbart;black lives matter;right;Non-biased;Entirely factual;[]
